"Policy","Rule_name","mean.wait","sd.wait","mean.OT","sd.OT","mean.Idle","sd.Idle","excess.wait.rate","extreme.wait.rate","excess.OT.rate","extreme.OT.rate"
"3,5,9,10,11,14,16;A","BBABABBBAAABBABA",5.463630625,2.82966656499803,9.46733166666667,12.6056313629083,32.2449933333333,17.4300687079198,12.61,0.72625,7.78,2.08
"3,5,9,10,11,15,16;A","BBABABBBAAABBBAA",5.35273114583333,2.728116905662,9.77563666666667,12.6339489113459,32.6450533333333,17.5375867924671,12.298125,0.690625,7.96,2.1
"3,5,9,10,12,13,14;A","BBABABBBAABAAABB",5.74529489583333,3.23129089754575,8.88971166666667,12.6708864608296,31.2470766666667,17.0367521631551,13.4275,0.818125,7.65,2.08
"3,5,9,10,12,13,15;A","BBABABBBAABAABAB",5.6211821875,3.05203375069664,9.071315,12.6616082837444,31.5356716666667,17.1212561818853,13.07375,0.7775,7.73,2.08
"3,5,9,10,12,13,16;A","BBABABBBAABAABBA",5.48767427083333,2.88468967122147,9.406795,12.6148262447136,32.1587483333333,17.3813446273006,12.721875,0.744375,7.77,2.08
"3,5,9,10,12,14,15;A","BBABABBBAABABAAB",5.51425489583333,2.93910580638873,9.27689333333333,12.7104296271333,31.80004,17.186243173424,12.758125,0.738125,7.84,2.12
"3,5,9,10,12,14,16;A","BBABABBBAABABABA",5.37902354166667,2.7438395324189,9.597085,12.6563265497999,32.3955416666667,17.4284707552293,12.379375,0.70375,7.88,2.12
"3,5,9,10,12,15,16;A","BBABABBBAABABBAA",5.26653989583333,2.62492882196483,9.89997333333333,12.6843259660027,32.7855966666667,17.5337265444051,12.055,0.668125,8.05,2.14
"3,5,9,10,13,14,15;A","BBABABBBAABBAAAB",5.43616447916667,2.91708217207898,9.485145,12.7960724930864,32.0587916666667,17.2049836543746,12.510625,0.71,8.07,2.19
"3,5,9,10,13,14,16;A","BBABABBBAABBAABA",5.29983010416666,2.70093804007179,9.79372166666667,12.7358188715784,32.636645,17.4387707157785,12.130625,0.675,8.1,2.19
"3,5,9,10,13,15,16;A","BBABABBBAABBABAA",5.18324239583333,2.55633421396849,10.08066,12.7603379647949,33.003025,17.536908679328,11.791875,0.6375,8.24,2.21
"3,5,9,10,14,15,16;A","BBABABBBAABBBAAA",5.092360625,2.50899708256387,10.337965,12.8171557739916,33.3188783333333,17.5898054640162,11.503125,0.604375,8.51,2.26
"3,5,9,11,12,13,14;A","BBABABBBABAAAABB",5.69665072916667,3.27383411110089,9.03971833333333,12.760706835225,31.4265983333333,17.0103721038116,13.29625,0.808125,7.74,2.24
"3,5,9,11,12,13,15;A","BBABABBBABAAABAB",5.570896875,3.08324944373998,9.217665,12.749610602304,31.70706,17.0960776388139,12.936875,0.76375,7.83,2.24
"3,5,9,11,12,13,16;A","BBABABBBABAAABBA",5.43672572916667,2.90619855680017,9.546715,12.7011161436271,32.319525,17.3482137190826,12.59625,0.726875,7.87,2.24
"3,5,9,11,12,14,15;A","BBABABBBABAABAAB",5.46210572916667,2.95740354838177,9.421905,12.7951615218467,31.9696183333333,17.1582760420997,12.61375,0.7225,7.96,2.28
"3,5,9,11,12,14,16;A","BBABABBBABAABABA",5.32612302083333,2.75094439600397,9.73413333333333,12.7394456331835,32.5530983333333,17.3939342297703,12.2475,0.684375,8,2.28
"3,5,9,11,12,15,16;A","BBABABBBABAABBAA",5.21197208333333,2.61909752543452,10.0306366666667,12.7648355126061,32.93498,17.4995904497973,11.923125,0.648125,8.18,2.3
"3,5,9,11,13,14,15;A","BBABABBBABABAAAB",5.37899072916666,2.91844081594335,9.620875,12.8753820149376,32.2158666666667,17.178985898607,12.344375,0.69375,8.19,2.32
