"Policy","Rule_name","mean.wait","sd.wait","mean.OT","sd.OT","mean.Idle","sd.Idle","excess.wait.rate","extreme.wait.rate","excess.OT.rate","extreme.OT.rate"
"1,2,3,4,5,6,7,8,9,10,11,12,13;B","BBBBBBBBBBBBBCCC",5.10908270833333,2.15628357960051,3.477745,8.30113813943435,33.192335,18.3159503230035,11.5575,0.693125,2.36,0.7
"1,2,3,4,5,6,7,8,9,10,11,12,14;B","BBBBBBBBBBBBCBCC",5.010085,2.06009689210151,3.57197833333333,8.34823606828733,33.374675,18.3208913238484,11.246875,0.665,2.4,0.7
"1,2,3,4,5,6,7,8,9,10,11,12,15;B","BBBBBBBBBBBBCCBC",4.92238010416667,2.04601792551074,3.802195,8.43058301097649,33.8727933333333,18.3774928307369,10.99,0.6375,2.48,0.7
"1,2,3,4,5,6,7,8,9,10,11,12,16;B","BBBBBBBBBBBBCCCB",4.81412583333333,2.0832007549656,4.35107,8.55226362359813,35.5012933333333,18.8083957926083,10.77125,0.624375,2.57,0.7
"1,2,3,4,5,6,7,8,9,10,11,13,14;B","BBBBBBBBBBBCBBCC",4.93148125,1.98433499992758,3.659695,8.40281093061626,33.5306383333333,18.31659606236,10.99625,0.631875,2.47,0.7
"1,2,3,4,5,6,7,8,9,10,11,13,15;B","BBBBBBBBBBBCBCBC",4.83592760416667,1.95158124540105,3.87842,8.47662897256834,33.9982866666667,18.3735247763122,10.71625,0.60375,2.53,0.7
"1,2,3,4,5,6,7,8,9,10,11,13,16;B","BBBBBBBBBBBCBCCB",4.7253309375,1.97981467890501,4.41486166666667,8.58992161395988,35.5893083333333,18.7927376139256,10.4925,0.59,2.61,0.7
"1,2,3,4,5,6,7,8,9,10,11,14,15;B","BBBBBBBBBBBCCBBC",4.7696028125,1.94347130547738,4.05039833333333,8.58108988425659,34.3152966666667,18.4108947321605,10.54,0.57375,2.58,0.72
"1,2,3,4,5,6,7,8,9,10,11,14,16;B","BBBBBBBBBBBCCBCB",4.653316875,1.95173673249815,4.56352,8.67045415306807,35.81529,18.7919411267149,10.295,0.56,2.65,0.72
"1,2,3,4,5,6,7,8,9,10,11,15,16;B","BBBBBBBBBBBCCCBB",4.58329333333333,1.97146841584633,4.92899166666667,8.84033856520293,36.362275,18.8702581995214,10.11375,0.545,2.75,0.76
"1,2,3,4,5,6,7,8,9,10,12,13,14;B","BBBBBBBBBBCBBBCC",4.8637534375,1.92591656241178,3.751325,8.48329294412542,33.66097,18.2995499507728,10.84,0.601875,2.51,0.7
"1,2,3,4,5,6,7,8,9,10,12,13,15;B","BBBBBBBBBBCBBCBC",4.7650378125,1.87712161908053,3.966465,8.55375793620898,34.11665,18.3532069107555,10.549375,0.573125,2.57,0.7
"1,2,3,4,5,6,7,8,9,10,12,13,16;B","BBBBBBBBBBCBBCCB",4.65321625,1.89548315327376,4.495965,8.65858837774124,35.6880733333333,18.7692132014678,10.310625,0.558125,2.65,0.7
"1,2,3,4,5,6,7,8,9,10,12,14,15;B","BBBBBBBBBBCBCBBC",4.69173479166667,1.85281476365145,4.13037833333333,8.64753581502898,34.4198016666667,18.391570534943,10.3475,0.540625,2.61,0.72
"1,2,3,4,5,6,7,8,9,10,12,14,16;B","BBBBBBBBBBCBCBCB",4.57439260416667,1.84979463453719,4.636265,8.73152427804352,35.902895,18.7710100718516,10.093125,0.52625,2.68,0.72
"1,2,3,4,5,6,7,8,9,10,12,15,16;B","BBBBBBBBBBCBCCBB",4.50177083333333,1.86270627509794,4.993645,8.89415407978678,36.438025,18.849610534379,9.901875,0.51125,2.78,0.76
"1,2,3,4,5,6,7,8,9,10,13,14,15;B","BBBBBBBBBBCCBBBC",4.64170114583333,1.85601796522542,4.28267666666667,8.77078994098321,34.6491883333333,18.3672211309279,10.2125,0.5225,2.69,0.75
"1,2,3,4,5,6,7,8,9,10,13,14,16;B","BBBBBBBBBBCCBBCB",4.52136875,1.83503752925933,4.77087333333333,8.84083251499165,36.0844383333333,18.7423187846318,9.94375,0.5075,2.76,0.75
"1,2,3,4,5,6,7,8,9,10,13,15,16;B","BBBBBBBBBBCCBCBB",4.43980552083333,1.8330201355887,5.10898333333333,8.98182096728101,36.58792,18.8193125539664,9.71875,0.490625,2.86,0.78
"1,2,3,4,5,6,7,8,9,10,14,15,16;B","BBBBBBBBBBCCCBBB",4.39333354166667,1.85467532724462,5.37647833333333,9.15768465825436,36.9511866666667,18.8318799101631,9.58,0.475,3.03,0.81
"1,2,3,4,5,6,7,8,9,11,12,13,14;B","BBBBBBBBBCBBBBCC",4.81421552083333,1.89145740662813,3.84986166666667,8.58127677341607,33.7991283333333,18.2557959185811,10.674375,0.583125,2.58,0.74
"1,2,3,4,5,6,7,8,9,11,12,13,15;B","BBBBBBBBBCBBBCBC",4.71277958333333,1.82685396016206,4.061475,8.6472750621143,34.2453916666667,18.3129286120134,10.376875,0.551875,2.64,0.74
"1,2,3,4,5,6,7,8,9,11,12,13,16;B","BBBBBBBBBCBBBCCB",4.5993503125,1.83487904839904,4.58319,8.74345657267736,35.7910916666667,18.7289158910487,10.134375,0.536875,2.72,0.74
"1,2,3,4,5,6,7,8,9,11,12,14,15;B","BBBBBBBBBCBBCBBC",4.63457635416667,1.78678851113161,4.21804166666667,8.73201805655346,34.5370616666667,18.350824990979,10.169375,0.5175,2.68,0.76
"1,2,3,4,5,6,7,8,9,11,12,14,16;B","BBBBBBBBBCBBCBCB",4.51589822916667,1.77191450108334,4.71755666666667,8.80819436490989,35.99878,18.7321655559159,9.913125,0.503125,2.75,0.76
"1,2,3,4,5,6,7,8,9,11,12,15,16;B","BBBBBBBBBCBBCCBB",4.44085729166667,1.77705069534482,5.06841666666667,8.96267241572666,36.5263616666667,18.8113981940755,9.710625,0.4875,2.84,0.8
"1,2,3,4,5,6,7,8,9,11,13,14,15;B","BBBBBBBBBCBCBBBC",4.57640895833333,1.77418698110815,4.35987666666667,8.8447477834156,34.75331,18.3310351182504,10.014375,0.496875,2.74,0.78
"1,2,3,4,5,6,7,8,9,11,13,14,16;B","BBBBBBBBBCBCBBCB",4.45494322916667,1.74007845427456,4.843355,8.9086237281314,36.1704266666667,18.7079861694098,9.75,0.4825,2.81,0.78
"1,2,3,4,5,6,7,8,9,11,13,15,16;B","BBBBBBBBBCBCBCBB",4.37149947916667,1.72839873993315,5.17672,9.04527522877102,36.6679716666667,18.785518561321,9.51375,0.465625,2.9,0.81
