"Policy","Rule_name","mean.wait","sd.wait","mean.OT","sd.OT","mean.Idle","sd.Idle","excess.wait.rate","extreme.wait.rate","excess.OT.rate","extreme.OT.rate"
"2;A-3,4,5,6,7,8,9,10,11,12,13,14,16;B","CABBBBBBBBBBBBCB",5.81147541666667,2.36902638870592,6.65471666666667,10.9843424370955,30.9504883333333,17.5604288621365,13.560625,0.7875,5,1.45
"2;A-3,4,5,6,7,8,9,10,11,12,13,15,16;B","CABBBBBBBBBBBCBB",5.701526875,2.29888583261914,6.91389333333333,11.0204901149315,31.3453933333333,17.6678829728706,13.254375,0.739375,5.02,1.45
"2;A-3,4,5,6,7,8,9,10,11,12,14,15,16;B","CABBBBBBBBBBCBBB",5.60881302083333,2.23765145871698,7.09014666666667,11.0861609319116,31.5961183333333,17.7101214523273,13.011875,0.69875,5.15,1.46
"2;A-3,4,5,6,7,8,9,10,11,13,14,15,16;B","CABBBBBBBBBCBBBB",5.53047479166667,2.18827325059127,7.26439166666667,11.1704937402403,31.8098766666667,17.7031081188099,12.78375,0.66875,5.29,1.49
"2;A-3,4,5,6,7,8,9,10,12,13,14,15,16;B","CABBBBBBBBCBBBBB",5.4664365625,2.15264585955047,7.39671833333333,11.2293925983866,31.9680783333333,17.6858419267408,12.56625,0.630625,5.39,1.52
"2;A-3,4,5,6,7,8,9,11,12,13,14,15,16;B","CABBBBBBBCBBBBBB",5.40945927083333,2.12891000637946,7.50837,11.3115888943198,32.1005583333333,17.6535615775688,12.3825,0.60875,5.54,1.52
"2;A-3,4,5,6,7,8,10,11,12,13,14,15,16;B","CABBBBBBCBBBBBBB",5.36485489583333,2.12040115716853,7.604365,11.3801818793151,32.2163183333333,17.6127993982607,12.248125,0.5875,5.58,1.54
"2;A-3,4,5,6,7,9,10,11,12,13,14,15,16;B","CABBBBBCBBBBBBBB",5.3200034375,2.12284975741856,7.68910333333333,11.4648047443612,32.3138066666667,17.563910994347,12.094375,0.58625,5.69,1.58
"2;A-3,4,5,6,8,9,10,11,12,13,14,15,16;B","CABBBBCBBBBBBBBB",5.28412333333333,2.14450482879252,7.76869666666667,11.5366937598859,32.4053866666667,17.4984754060708,12.013125,0.57875,5.83,1.63
"2;A-3,4,5,7,8,9,10,11,12,13,14,15,16;B","CABBBCBBBBBBBBBB",5.25832979166667,2.18213049718014,7.83929666666667,11.6083656313754,32.48621,17.4320571456976,11.895625,0.576875,5.94,1.68
